bib_item,title,oocc,wb
Q44167,Vizc. a- con temas demostrativos,625
Q44299,Notas lingüísticas a Colección diplomática de Irache,491
Q44281,Notas sobre las lenguas de la Navarra medieval,507
Q44262,Léxico vasco y etimología,525
Q44225,Acentuación alto-navarra,564
Q44123,Iruñea,671,https://wikibase.inguma.eus/entity/Q41499
Q44154,Apodaka,639,https://wikibase.inguma.eus/entity/Q41501
Q44204,Alguna coincidencia interdialectal,587
Q44203,Al pie de la letra,588
Q44199,Aspectos de la métrica de Aresti,591
Q44272,A note on old Labourdin accentuation,516
Q44179,Algunas observaciones sobre los cantares de la quema de Mondragón,611
Q44279,"Toponimia, léxico y gramática",509
Q44207,Notas sobre compuestos verbales vascos,584
Q44291,Nombre y verbo en la etimología vasca,499
Q44286,Egunak eta egun izenak,502,https://wikibase.inguma.eus/entity/Q41500
Q44182,Algo más sobre grafías de Refranes y sentencias,609
Q44183,Xokudi y otros en Barrutia,608
Q44188,Para la historia de la ortografía vasca,602
Q44184,Vasc. on da / gauza ona da,607
Q44131,Tipología en torno a la lengua vasca,663
Q44323,Notas fonológicas sobre el salacenco,466
Q44193,"Iztueta, testigo político de su época",597
Q44175,Euskararen izterlengusuak direla eta,615
Q44292,La lectura en territorio vasco,498
Q44187,Relato y orden de palabras,603
Q44132,Sobre la lengua vasca en Álava durante la Edad Media,662
Q44177,De nuevo sobre el texto de Barrutia,613
Q44189,Oldoztu: ¿pensar o no pensar?,601
Q44178,‘Arratsaldea zan alakoa’,612
Q44241,El elemento latino-románico en la lengua vasca,548
Q44146,Lengua común y dialectos vascos,648
Q44133,Sobre la historia de la lengua vasca,661
Q44083,Rectificaciones y enmiendas,716
Q44170,La letra h en los Refranes y sentencias de 1596,620
Q44180,Algunas dudas sobre gurenda,610
Q44198,El Nuevo Testamento de Leiçarraga,592
Q44215,Onomástica y población en el antiguo Reino de Navarra: la documentación de San Millán,574
